Year,gdp_constant,gdp_growth,gdp_per_capita,inflation,unemployment
1961,5263329225.83546,,240.267722018069,,
1962,5491025655.44194,4.32609133566669,244.424431692123,,
1963,5739145003.59746,4.51863392606097,248.969086386249,,
1964,5973903904.19009,4.090485611454,252.419740478843,,
1965,6318713576.23631,5.77193201591967,259.915857989767,,
1966,6777237221.57145,7.25659803697334,271.60348215663,,
1967,7052500667.16255,4.06158788001341,275.270284643403,,
1968,7344628492.48129,4.14218784379452,278.861265577108,,
1969,7446620220.11373,1.38865740774845,275.061434693947,,
1970,7705965802.72538,3.48272874063242,276.902884011507,,
1971,8208893824.02496,6.52647616372386,287.023195789028,,
1972,8555896866.5395,4.22715958999208,291.268461064723,,
1973,8993092031.61491,5.10986950748782,298.112378618236,,
1974,9287495137.52209,3.27365832432511,300.010118382265,,
1975,9403229559.94464,1.24613171483642,296.414426867228,,
1976,9417222535.57464,0.148810316081267,289.454156996896,,
1977,9673906039.89112,2.72568162583839,291.670235643472,,
1978,9938971677.89439,2.74000633157128,294.622554732376,,
1979,9829567086.08187,-1.10076369425465,287.089780464543,,
1980,10461034808.8952,6.42416616401589,303.847990909372,,
1981,10919390083.4654,4.38154812543456,309.296010987799,,
1982,11019413209.7013,0.916013856738402,300.24593712377,,
1983,11926862517.7355,8.23500571913669,316.020252495738,,
1984,11587182914.6542,-2.84802145221462,299.134295590365,,
1985,10295866350.4472,-11.1443529779264,258.416525420403,,
1986,11290613046.4569,9.66161236122211,275.128117611222,,
1987,12855416412.1834,13.8593303949744,302.765063691614,,
1988,12920165915.2807,0.503674879297719,292.637021285122,,
1989,12873518408.2292,-0.361044179752284,280.592968440485,,
1990,13224508680.3701,2.72645178272684,277.768887497322,,
1991,12280612057.8476,-7.13747970027434,247.009335840842,,3.264
1992,11215578415.0916,-8.67248014788855,216.292535524802,,3.379
1993,12689623265.693,13.1428339765155,236.266715425068,,3.235
1994,13094417753.4806,3.18996458217966,235.4623750444,,3.1
1995,13896779695.8913,6.12751141376526,241.526301068537,,3.029
1996,15623617690.3741,12.4261737774647,262.724718922724,,3.146
1997,16113247315.5275,3.13390685087596,262.411339258283,,3.255
1998,15556028804.3965,-3.45813913371741,245.504476745904,,3.494
1999,16359053695.2449,5.16214582105543,250.235771300168,,3.714
2000,17352574603.7583,6.07321747957951,257.412698845664,,3.5
2001,18793064976.1136,8.30130632052327,270.451435406908,,3.176
2002,19077728362.3105,1.51472570631104,266.316614456911,0.675089102170791,3.06
2003,18665390025.6039,-2.16135972205798,252.806674812798,13.6740452028272,2.995
2004,21198769337.7279,13.5726031368694,278.648105685268,3.32737047894846,2.767
2005,23704202269.324,11.8187659466494,302.475022727211,9.96997123512892,2.497
2006,26272487888.3487,10.8347270658771,325.543392093065,12.2994763114825,2.351
2007,29282307975.8989,11.4561670000235,352.360703147015,17.2404008340898,2.347
2008,32441436121.8563,10.7885216853725,379.238310448137,44.3566858766952,2.335
2009,35297110794.6214,8.80255319782573,401.068729929542,8.48364404530282,2.331
2010,39727088219.906,12.5505383459307,438.78661648794,8.14926402965083,2.3
2011,44167899823.5539,11.1782962271642,474.159034335212,33.2499598823345,2.275
2012,47987456602.7121,8.64781163337369,500.91935528473,23.600417677317,2.255
2013,53065618849.7063,10.5822700482676,539.072451759432,7.46402192944522,2.251
2014,58508820967.9288,10.2574929610054,578.632922927814,6.89001951597188,2.359
2015,64589328550.5953,10.3924630202332,621.845673808133,9.56889955968623,2.443
2016,70682351658.2337,9.43348265784411,662.32729587522,6.62813337230927,2.554
2017,77442545825.2366,9.56418965754014,706.164227383539,10.6871150284238,2.662
2018,82721144197.5947,6.81614778557282,734.227726647201,13.8330356586661,2.802
2019,89640011617.7163,8.36408573314054,774.512169656681,15.8096321719344,2.917
2020,95071775811.9827,6.05953089054807,799.47559527955,20.3563468559061,3.994
2021,100435279224.388,5.64153069257077,822.305881122416,26.8395221557722,3.935
2022,105780203623.569,5.32175988403378,843.648005300445,33.8898797100898,3.409
2023,112755610463.007,6.59424599357075,876.168528913325,30.2188278135278,3.402
2024,121005590210.621,7.31669112848382,916.294136810201,21.0377460577711,3.398
