Country Name,"Country Code","Series Name","Series Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]","2024 [YR2024]"
Ethiopia,"ETH","GDP (constant 2015 US$)","NY.GDP.MKTP.KD","..","5263329225.83546","5491025655.44194","5739145003.59746","5973903904.19009","6318713576.23631","6777237221.57145","7052500667.16255","7344628492.48129","7446620220.11373","7705965802.72538","8208893824.02496","8555896866.5395","8993092031.61491","9287495137.52209","9403229559.94464","9417222535.57464","9673906039.89112","9938971677.89439","9829567086.08187","10461034808.8952","10919390083.4654","11019413209.7013","11926862517.7355","11587182914.6542","10295866350.4472","11290613046.4569","12855416412.1834","12920165915.2807","12873518408.2292","13224508680.3701","12280612057.8476","11215578415.0916","12689623265.693","13094417753.4806","13896779695.8913","15623617690.3741","16113247315.5275","15556028804.3965","16359053695.2449","17352574603.7583","18793064976.1136","19077728362.3105","18665390025.6039","21198769337.7279","23704202269.324","26272487888.3487","29282307975.8989","32441436121.8563","35297110794.6214","39727088219.906","44167899823.5539","47987456602.7121","53065618849.7063","58508820967.9288","64589328550.5953","70682351658.2337","77442545825.2366","82721144197.5947","89640011617.7163","95071775811.9827","100435279224.388","105780203623.569","112755610463.007","121005590210.621"
Ethiopia,"ETH","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","..","..","4.32609133566669","4.51863392606097","4.090485611454","5.77193201591967","7.25659803697334","4.06158788001341","4.14218784379452","1.38865740774845","3.48272874063242","6.52647616372386","4.22715958999208","5.10986950748782","3.27365832432511","1.24613171483642","0.148810316081267","2.72568162583839","2.74000633157128","-1.10076369425465","6.42416616401589","4.38154812543456","0.916013856738402","8.23500571913669","-2.84802145221462","-11.1443529779264","9.66161236122211","13.8593303949744","0.503674879297719","-0.361044179752284","2.72645178272684","-7.13747970027434","-8.67248014788855","13.1428339765155","3.18996458217966","6.12751141376526","12.4261737774647","3.13390685087596","-3.45813913371741","5.16214582105543","6.07321747957951","8.30130632052327","1.51472570631104","-2.16135972205798","13.5726031368694","11.8187659466494","10.8347270658771","11.4561670000235","10.7885216853725","8.80255319782573","12.5505383459307","11.1782962271642","8.64781163337369","10.5822700482676","10.2574929610054","10.3924630202332","9.43348265784411","9.56418965754014","6.81614778557282","8.36408573314054","6.05953089054807","5.64153069257077","5.32175988403378","6.59424599357075","7.31669112848382"
Ethiopia,"ETH","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","..","240.267722018069","244.424431692123","248.969086386249","252.419740478843","259.915857989767","271.60348215663","275.270284643403","278.861265577108","275.061434693947","276.902884011507","287.023195789028","291.268461064723","298.112378618236","300.010118382265","296.414426867228","289.454156996896","291.670235643472","294.622554732376","287.089780464543","303.847990909372","309.296010987799","300.24593712377","316.020252495738","299.134295590365","258.416525420403","275.128117611222","302.765063691614","292.637021285122","280.592968440485","277.768887497322","247.009335840842","216.292535524802","236.266715425068","235.4623750444","241.526301068537","262.724718922724","262.411339258283","245.504476745904","250.235771300168","257.412698845664","270.451435406908","266.316614456911","252.806674812798","278.648105685268","302.475022727211","325.543392093065","352.360703147015","379.238310448137","401.068729929542","438.78661648794","474.159034335212","500.91935528473","539.072451759432","578.632922927814","621.845673808133","662.32729587522","706.164227383539","734.227726647201","774.512169656681","799.47559527955","822.305881122416","843.648005300445","876.168528913325","916.294136810201"
Ethiopia,"ETH","Inflation, consumer prices (annual %)","FP.CPI.TOTL.ZG","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0.675089102170791","13.6740452028272","3.32737047894846","9.96997123512892","12.2994763114825","17.2404008340898","44.3566858766952","8.48364404530282","8.14926402965083","33.2499598823345","23.600417677317","7.46402192944522","6.89001951597188","9.56889955968623","6.62813337230927","10.6871150284238","13.8330356586661","15.8096321719344","20.3563468559061","26.8395221557722","33.8898797100898","30.2188278135278","21.0377460577711"
Ethiopia,"ETH","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","3.264","3.379","3.235","3.1","3.029","3.146","3.255","3.494","3.714","3.5","3.176","3.06","2.995","2.767","2.497","2.351","2.347","2.335","2.331","2.3","2.275","2.255","2.251","2.359","2.443","2.554","2.662","2.802","2.917","3.994","3.935","3.409","3.402","3.398"
Ethiopia,"ETH","General government final consumption expenditure (% of GDP)","NE.CON.GOVT.ZS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","10.3182460672537","8.30218871752089","8.9554736783348","9.24959184376664","9.01378857603043","11.0526402184145","15.4931325929715","10.2500179989793","9.20441362859999","9.12947509940408","8.83582491858562","7.36173479559612","6.31777188442684","5.53090847425986"
Ethiopia,"ETH","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.1076664694521","37.0979619673542","34.0811183155872","37.9937253037378","40.6712729848122","37.3487629699646","38.4439871569806","34.1629551124182","35.2639756254811","30.5789686594943","28.0252954109363","25.3422268254436","22.1694039604718","20.4985854532076"
Ethiopia,"ETH","Exports of goods and services (% of GDP)","NE.EXP.GNFS.ZS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","16.6868531997337","13.7672981990263","12.484073558977","11.6416199095703","9.36331359735926","7.8120625822914","7.62937471525016","8.37267815589761","7.93996502459584","7.12719989668803","7.63170919111601","8.24396037798902","6.59591829014293","5.55455331050366"
Ethiopia,"ETH","Imports of goods and services (% of GDP)","NE.IMP.GNFS.ZS","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","31.5460822119553","31.630605984481","28.9877135217855","29.0994642402923","30.2928105475922","27.0869584993198","23.4742747776515","22.8266908218905","20.8753289042388","16.8789144434913","16.7133482736483","18.3515393187423","14.0022832171223","11.7602359669501"
Ethiopia,"ETH","Population, total","SP.POP.TOTL","21376693","21906102","22465126","23051637","23666548","24310612","24952689","25620276","26337930","27072571","27829128","28600106","29374608","30166785","30957273","31723252","32534418","33167272","33734592","34238652","34428514","35304012","36701290","37740817","38735722","39842136","41037656","42460039","44150825","45879690","47609755","49717198","51853747","53708891","55611508","57537335","59467635","61404539","63363524","65374561","67411494","69487762","71635517","73832663","76077206","78367470","80703490","83103217","85543668","88007636","90538514","93149970","95798767","98438751","101115610","103867135","106718162","109666481","112664152","115737383","118917671","122138588","125384287","128691692","132059767"
