Year,Forecast
2012-01-01,35541230599.82089
2013-01-01,36981548753.7202
2014-01-01,38457206421.298676
2015-01-01,39968203602.55631
2016-01-01,41514540297.49311
2017-01-01,43096216506.10907
2018-01-01,44713232228.40419
2019-01-01,46365587464.37848
2020-01-01,48053282214.03192
2021-01-01,49776316477.36453
2022-01-01,51534690254.37631
2023-01-01,53328403545.067245
2024-01-01,55157456349.43735
