Year,Actual,ARIMA,ML
2018-01-01,2.802,2.684207962937745,2.2328615384615382
2019-01-01,2.917,2.687884917924136,2.202783638583638
2020-01-01,3.994,2.6884937084741676,2.1739146309629063
2021-01-01,3.935,2.688594505447527,2.1462545155993427
2022-01-01,3.409,2.6886111943232627,2.119803292492947
2023-01-01,3.402,2.6886139574873145,2.0945609616437193
2024-01-01,3.398,2.688614414982217,2.0705275230516595
