Year,Forecast
2012-01-01,47229984177.8608
2013-01-01,49995136742.02131
2014-01-01,52492151134.30251
2015-01-01,54747028841.98242
2016-01-01,56783249975.63266
2017-01-01,58622017768.22837
2018-01-01,60282479365.06203
2019-01-01,61781925203.55327
2020-01-01,63135969059.10288
2021-01-01,64358710631.81383
2022-01-01,65462882367.09988
2023-01-01,66459982039.02934
2024-01-01,67360392476.9983
