Year,Actual,ARIMA,ML
2012-01-01,8.64781163337369,9.03068353980132,12.597144308724847
2013-01-01,10.5822700482676,8.734410584273562,13.330685198433823
2014-01-01,10.2574929610054,8.693538380130953,14.08822347439277
2015-01-01,10.3924630202332,8.687899873340823,14.869759136601683
2016-01-01,9.43348265784411,8.687122015638034,15.67529218506057
2017-01-01,9.56418965754014,8.68701470662373,16.504822619769413
2018-01-01,6.81614778557282,8.686999902856268,17.358350440728227
2019-01-01,8.36408573314054,8.686997860609095,18.235875647937007
2020-01-01,6.05953089054807,8.686997578871793,19.13739824139576
2021-01-01,5.64153069257077,8.686997540004848,20.06291822110447
2022-01-01,5.32175988403378,8.686997534642975,21.012435587063152
2023-01-01,6.59424599357075,8.68699753390328,21.985950339271806
2024-01-01,7.31669112848382,8.686997533801236,22.98346247773042
