Year,gdp_constant_forecast,gdp_per_capita_forecast,unemployment_forecast
2025-01-01,133800663580.6094,906.7993351701231,3.2760703313221295
2026-01-01,161931883737.8457,-4671090998528677.0,2.941750723762027
2027-01-01,190117221845.57028,-8373880557141733.0,2.512078164983403
2028-01-01,220874652714.46896,-9147936743096038.0,2.12038477325131
2029-01-01,259129316793.05887,-9570149208162022.0,1.8467958182386661
